Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,3346.510164566103,2025-08-06 14:00:00+00:00,2.9869927499999998,3.998400639744432,2025-08-09 19:00:00+00:00,3.2633675,4.368357003785869,916.5241524608871,0.09168907621218715,Long,Closed,0
1,0,3331.3090823999696,2025-08-10 04:00:00+00:00,3.2756369999999997,4.364863715498359,2025-08-10 07:00:00+00:00,3.1859062500000004,4.245295370519932,-307.531021531577,-0.028182416824574688,Long,Closed,1
2,0,3266.294260480353,2025-08-11 07:00:00+00:00,3.24672255,4.241900492173954,2025-08-11 11:00:00+00:00,3.2133925,4.198354191768245,-117.30600570046526,-0.011061646157599666,Long,Closed,2
3,0,3187.257055119209,2025-08-12 19:00:00+00:00,3.2904444,4.194996851350879,2025-08-13 05:00:00+00:00,3.2170906500000003,4.101477948468217,-242.09373200676933,-0.0230840442160335,Long,Closed,3
4,0,3115.2272473960197,2025-08-13 08:00:00+00:00,3.2888436,4.098198078057976,2025-08-14 05:00:00+00:00,3.2730626500000004,4.078533579885689,-57.33797708773744,-0.005596408567436888,Long,Closed,4
5,0,3242.1958099136577,2025-08-16 08:00:00+00:00,3.1423704,4.075272057631082,2025-08-16 11:00:00+00:00,3.1028478,4.0240160543839245,-136.23929622890904,-0.013372289682973172,Long,Closed,5
6,0,3202.1200394756465,2025-08-17 08:00:00+00:00,3.1391687999999998,4.02079812870943,2025-08-17 16:00:00+00:00,3.1106439000000004,3.9842620671450724,-99.34521410989223,-0.009883133739096557,Long,Closed,6
7,0,3239.770712222001,2025-08-18 17:00:00+00:00,3.07203525,3.9810759319443605,2025-08-19 03:00:00+00:00,2.9887049000000006,3.8730874409977547,-277.8253907421479,-0.027914603538484396,Long,Closed,7
8,0,3284.917608063097,2025-08-20 17:00:00+00:00,2.9452719,3.869990209936077,2025-08-21 02:00:00+00:00,2.9227379,3.840381276585344,-81.73270486661461,-0.008447846163201236,Long,Closed,8
9,0,3190.842349203694,2025-08-22 14:00:00+00:00,3.0065025,3.837310199995045,2025-08-24 06:00:00+00:00,3.0302841000000003,3.8676635345594415,68.17836267726913,0.007106890933900845,Long,Closed,9
10,0,3164.5414724140974,2025-08-24 17:00:00+00:00,3.0530257499999998,3.864570640889724,2025-08-24 20:00:00+00:00,3.0276854,3.8324944054890664,-87.88765354686593,-0.00909675735948172,Long,Closed,10
11,0,3143.1822405261923,2025-08-25 02:00:00+00:00,3.04582215,3.829429635872657,2025-08-25 03:00:00+00:00,3.0203890500000004,3.7974532885759116,-87.56775116597366,-0.009146819186405723,Long,Closed,11
12,0,3181.217521560841,2025-08-26 18:00:00+00:00,2.9818901999999996,3.7944165406443062,2025-08-27 21:00:00+00:00,2.98580635,3.799399790643048,4.864308665774177,0.0005127859436274021,Long,Closed,12
13,0,3154.0632514341455,2025-08-28 04:00:00+00:00,3.0091038,3.7963614861328097,2025-08-28 15:00:00+00:00,2.9802091500000003,3.7599072646411167,-98.69182247882632,-0.010398569560810892,Long,Closed,13
14,0,3279.266976982963,2025-08-31 01:00:00+00:00,2.8641313499999996,3.7569005415189167,2025-08-31 10:00:00+00:00,2.8184900500000003,3.697032538368025,-157.12394095645675,-0.016729103069941,Long,Closed,14
15,0,3303.358604950032,2025-09-01 07:00:00+00:00,2.7956971499999996,3.694076094914635,2025-09-01 11:00:00+00:00,2.76831515,3.657895068786415,-97.80453648444305,-0.010590419251956546,Long,Closed,15
16,0,3254.87664485034,2025-09-02 08:00:00+00:00,2.8073029499999995,3.6549699227889505,2025-09-02 12:00:00+00:00,2.7676155000000002,3.603298821150319,-136.43602284260336,-0.014931561761084346,Long,Closed,16
17,0,3180.901977932986,2025-09-02 13:00:00+00:00,2.82971415,3.6004173346882453,2025-09-03 16:00:00+00:00,2.8647,0.0,107.68614212997818,0.011963739991193037,Long,Open,17
